Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1960.12,1823.10363299289,
1961.01,1753.36583397156,
1961.02,1689.02709384124,
1961.03,1629.00070344302,
1961.04,1592.76384568978,
1961.05,1558.32570848568,
1961.06,1525.13291530757,
1961.07,1500.89460620007,
1961.08,1477.21544372361,
1961.09,1454.27183468131,
1961.10,1954.75931977008,
1961.11,1879.53941457304,
1961.12,1809.89398429502,
1962.01,1694.32629506364,
1962.02,1592.6315288594,
1962.03,1502.45313704115,
1962.04,1453.74802112948,
1962.05,1408.10150779618,
1962.06,1365.23425519993,
1962.07,1330.53193570886,
1962.08,1297.55005270017,
1962.09,1266.2682977969,
1962.10,1228.63427244381,
1962.11,1218.87003281539,
1962.12,1159.7883864879,
1963.01,1682.63779917191,
1963.02,1570.38843616031,
1963.03,1472.08842900708,
1963.04,1423.80889642958,
1963.05,1378.59561271393,
1963.06,1336.16546059695,
1963.07,1290.47536541768,
1963.08,1247.80669283032,
1963.09,1207.86933144185,
1963.10,1161.61548889027,
1963.11,1118.8256938142,
1963.12,1078.93059906381,
1964.01,998.838260078622,
1964.02,1869.93309163172,
1964.03,1754.39273295555,
1964.04,1698.31880768267,
1964.05,1644.25040555809,
1964.06,1595.10949750766,
1964.07,1535.22710758233,
1964.08,1479.67815354922,
1964.09,1426.77587138642,
1964.10,1361.44344596104,
1964.11,1301.79686209122,
1964.12,1246.4761663315,
1965.01,1159.50780383725,
1965.02,1083.88373937929,
1965.03,1599.43573654672,
1965.04,1533.49003131996,
1965.05,1472.76695669153,
1965.06,1416.77632427104,
1965.07,1367.53875509766,
1965.08,1321.60857370408,
1965.09,1277.57886752355,
1965.10,1237.97346063724,
1965.11,1200.73064006773,
1965.12,1166.65627892015,
1966.01,1113.21729629668,
1966.02,1064.47450883693,
1966.03,1298.44644212214,
1966.04,1249.71005232162,
1966.05,1204.49988870882,
1966.06,1161.12301063806,
1966.07,1125.11602689326,
1966.08,1091.27506168359,
1966.09,1060.5590668956,
1966.10,1034.68702592991,
1966.11,1010.05785065884,
1966.12,986.16794213254,
1967.01,958.56510143225,
1967.02,940.69195430054,
1967.03,1143.32669541061,
1967.04,1116.68814239545,
1967.05,1089.27852435483,
1967.06,1066.96916900295,
1967.07,1052.9054277595,
1967.08,1039.20761213384,
1967.09,1026.74068276805,
1967.10,1013.71097867201,
1967.11,1001.84479664742,
1967.12,991.072271952287,
1968.01,963.963295889232,
1968.02,946.450534589506,
1968.03,1142.91268441911,
1968.04,1117.01587132804,
1968.05,1098.75855396607,
1968.06,1078.72283999878,
1968.07,1055.62384984892,
1968.08,1040.03446810009,
1968.09,1024.89883135019,
1968.10,1009.50785913879,
1968.11,994.572302379509,
1968.12,980.072242305056,
1969.01,955.998069578752,
1969.02,945.002564625131,
1969.03,933.07824204311,
1969.04,921.451098840081,
1969.05,1088.80264907115,
1969.06,1058.37831821125,
1969.07,1042.26717285206,
1969.08,1029.60805739232,
1969.09,1012.04794271252,
1969.10,996.748225773417,
1969.11,980.82222106409,
1969.12,967.495832190936,
1970.01,945.402193962466,
1970.02,933.993877875826,
1970.03,913.856432870289,
1970.04,904.569273999656,
1970.05,1069.18458332212,
1970.06,1051.81230796533,
1970.07,1031.995554337,
1970.08,1006.70631360867,
1970.09,988.538083053026,
1970.10,976.339486964163,
1970.11,964.438283285594,
1970.12,955.807963077221,
1971.01,937.354452600961,
1971.02,925.576602026685,
1971.03,911.361261722521,
1971.04,899.844480824596,
1971.05,1067.78597540596,
1971.06,1043.54762330919,
1971.07,1024.85349789162,
1971.08,1012.36019925433,
1971.09,999.77941231214,
1971.10,986.372408698759,
1971.11,971.850504606931,
1971.12,960.967520232833,
1972.01,938.546112542384,
1972.02,921.08478951834,
1972.03,905.215185198228,
1972.04,896.389967515237,
1972.05,1059.91994629689,
1972.06,1049.76328698946,
1972.07,1036.98726321271,
1972.08,1026.23229326972,
1972.09,1004.3904140744,
1972.10,992.046676773352,
1972.11,982.199271400321,
1972.12,974.708714516429,
1973.01,961.570007706333,
1973.02,956.472817144747,
1973.03,948.780799438046,
1973.04,938.332310976814,
1973.05,1077.59826345721,
1973.06,1061.21748508573,
1973.07,1044.40735185176,
1973.08,1026.63917602729,
1973.09,1010.61159876884,
1973.10,1006.32692551233,
1973.11,1000.95154975053,
